Item,Question,Scale
I thought about things I am currently worried about ,Concerns,Not at all                            Completely
I thought about people I have just recently met,People,Not at all                            Completely
I thought of people I have known for a long time (friends),Friend,Not at all                            Completely
I thought about members of my family,Family,Not at all                            Completely
I thought about an event that took place earlier today,Today - Past,Not at all                            Completely
I thought about an interaction I may possibly have in the future,Social - Future,Not at all                            Completely
I thought about an interaction with somebody that took place in the past,Social - Past,Not at all                            Completely
I thought about something that happened at a place very close to me,Near Location,Not at all                            Completely
I thought about something that made me feel guilty,Guilt,Not at all                            Completely
I thought about an event that may take place later today ,Today - Plan,Not at all                            Completely
I thought about something that happened in the recent past (last couple of days but not today) ,Recent Past,Not at all                            Completely
I thought about something that happened a long time ago in the past ,Distant Past,Not at all                            Completely
I thought about something that made me angry ,Anger,Not at all                            Completely
I thought about something that made me happy ,Happiness,Not at all                            Completely
I thought about something that made me cheerful ,Cheerfulness,Not at all                            Completely
I thought about something that made me calm ,Calm,Not at all                            Completely
I thought about something that made me sad ,Sadness,Not at all                            Completely
I thought about something that is important to me,Importnace,Not at all                            Completely
I thought about something that could still happen today ,Today - Future,Not at all                            Completely
I thought about something that may take place in the distant future ,Distant Future,Not at all                            Completely
 I thought about something that could take place in the near future (days or weeks but not today) ,Near Future,Not at all                            Completely
I thought about personal worries,Worries,Not at all                            Completely
I thought about something that happened in a place far away from where I am now,Distant Location,Not at all                            Completely
In the form of images:,Image,Not at all                            Completely
In the form of words:,Words,Not at all                            Completely
Like an inner monologue or audiobook:,Inner Monologue,Not at all                            Completely
Like a television program or film:,Film,Not at all                            Completely
Had a strong and consistent personal narrative:,Narrative,Not at all                            Completely
Had a clear sense of purpose:,Purpose,Not at all                            Completely
Vague and non-specific:,Vagueness,Not at all                            Completely
Fragmented and disjointed:,Fragment,Not at all                            Completely
